date,confirmed,fatalities
2020-03-02,91011,3091
2020-03-03,93555,3166
2020-03-04,95843,3260
2020-03-05,98596,3354
2020-03-06,102551,3466
2020-03-07,106571,3564
2020-03-08,110544,3808
2020-03-09,114330,3994
2020-03-10,119363,4268
2020-03-11,126643,4622
2020-03-12,129209,4727
2020-03-13,145977,5411
2020-03-14,156888,5826
2020-03-15,168248,6447
2020-03-16,182373,7139
2020-03-17,197940,7917
2020-03-18,215720,8744
2020-03-19,243511,9880
2020-03-20,272982,11312
2020-03-21,305349,12989
2020-03-22,337901,14670
2020-03-23,379391,16530
2020-03-24,419537,18645
2020-03-25,468442,21197
2020-03-26,530427,23989
2020-03-27,594080,27217
2020-03-28,661509,31121
2020-03-29,664717,31327
